"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","GO","PATH","UNIPROT","ENZYME"
"ENSG00000188403.7",10.1137499799066,5.53350429983835,1.12502788583004,1.51572932757169e-07,2.72246901390828e-05,NA,NA,NA,NA,NA,NA
"ENSG00000211897.3",24005.9584223351,5.47596631272054,0.834470792334754,1.3246731959813e-11,4.87610568041708e-09,NA,NA,NA,NA,NA,NA
"ENSG00000243238.1",357.796111953257,5.45794726460426,0.767404002187313,2.91563336614717e-13,1.64023631028385e-10,NA,NA,NA,NA,NA,NA
"ENSG00000211979.2",29.7871042036107,5.43882305385828,1.29578367298997,1.58522234814907e-06,0.000228333282765279,NA,NA,NA,NA,NA,NA
"ENSG00000240041.1",660.334880527797,5.43768134326658,0.831716860586445,1.58945507371951e-11,5.64180862833584e-09,NA,NA,NA,NA,NA,NA
"ENSG00000253709.1",14.0584893790931,5.43613602785233,1.02289228754193,2.44721734245565e-08,4.83220081342104e-06,NA,NA,NA,NA,NA,NA
"ENSG00000242887.1",259.635321818805,5.43601569779381,0.86819618982242,9.65804367696805e-11,2.87964230272479e-08,NA,NA,NA,NA,NA,NA
"ENSG00000211957.2",20.3173109734117,5.43513822040847,1.08507577722568,1.07402035077428e-07,1.97672782584481e-05,NA,NA,NA,NA,NA,NA
"ENSG00000211958.2",12.2572919425512,5.43059272437196,0.946025098519484,2.33204136786712e-09,5.51842424002587e-07,NA,NA,NA,NA,NA,NA
"ENSG00000211672.2",23.3292878344469,5.3802157439756,0.993651621318377,1.48566149532116e-08,3.03400569482848e-06,NA,NA,NA,NA,NA,NA
"ENSG00000211595.2",1402.05251316534,5.37447187097167,0.848970408770756,6.39288826523299e-11,1.96505522181636e-08,NA,NA,NA,NA,NA,NA
"ENSG00000211961.2",39.4860555526428,5.36941240820349,1.00366704963962,2.10616774288202e-08,4.21459714240069e-06,NA,NA,NA,NA,NA,NA
"ENSG00000243264.1",123.870847289655,5.35114709648226,0.968607725339656,8.28258631386176e-09,1.7639542395293e-06,NA,NA,NA,NA,NA,NA
"ENSG00000253325.1",10.2523141248758,5.34160683779745,1.01817416289363,3.63663751055573e-08,7.01645109986901e-06,NA,NA,NA,NA,NA,NA
"ENSG00000211967.2",343.901448211113,5.33379477277758,0.834058903779972,4.29938080391081e-11,1.36372700052558e-08,NA,NA,NA,NA,NA,NA
"ENSG00000242766.1",30.4394578411094,5.28952592134327,1.27312949277747,1.84500149936407e-06,0.000261955070023996,NA,NA,NA,NA,NA,NA
"ENSG00000211968.2",53.4280250852878,5.28160718477583,1.20863878366665,1.09106049876811e-06,0.000165132283407461,NA,NA,NA,NA,NA,NA
"ENSG00000170476.11",1619.08693963671,5.27736379263587,0.659711566176907,3.54641513331691e-16,4.59738754847726e-13,"MZB1","51237","GO:0002642",NA,"Q8WU39",NA
"ENSG00000211664.2",133.534557621563,5.25319248903781,0.920135706285966,3.06196295660333e-09,7.02272980877576e-07,NA,NA,NA,NA,NA,NA
"ENSG00000229092.2",9.27294838049547,5.225379218137,1.06973661163424,2.00896471551293e-07,3.44248804354791e-05,NA,NA,NA,NA,NA,NA
"ENSG00000253763.1",12.8079799465957,5.2240389319122,1.05871365130353,1.63703583029746e-07,2.88815741515675e-05,NA,NA,NA,NA,NA,NA
"ENSG00000211630.2",97.9218828379533,5.21118862696354,1.18030765902529,9.90035512803855e-07,0.000150606626784488,NA,NA,NA,NA,NA,NA
"ENSG00000254326.1",19.1052720408195,5.19650799874147,1.54687846711957,7.93814023519534e-06,0.000966055466337079,NA,NA,NA,NA,NA,NA
"ENSG00000253742.1",24.0416467547974,5.1838639429554,0.973356878770237,2.61557110834171e-08,5.13064922146818e-06,NA,NA,NA,NA,NA,NA
"ENSG00000143297.14",1643.39392106733,5.14126024865677,0.668343595352958,4.35876409836236e-15,3.93820940475067e-12,"FCRL5","83416","GO:0005886",NA,"Q96RD9",NA
"ENSG00000240671.1",120.548839258966,5.13395689612175,0.975028247192537,3.6475379678015e-08,7.01645109986901e-06,NA,NA,NA,NA,NA,NA
"ENSG00000231486.3",287.138117923925,5.13282511719385,0.786498648791898,2.00334051682883e-11,6.71141582581668e-09,NA,NA,NA,NA,NA,NA
"ENSG00000211974.2",334.059592724905,5.09776806238923,0.973640857496658,4.30530354164765e-08,8.12448926568141e-06,NA,NA,NA,NA,NA,NA
"ENSG00000253705.1",17.8491473599199,5.0733903654991,1.06451046839176,3.38975626743194e-07,5.61494293720837e-05,NA,NA,NA,NA,NA,NA
"ENSG00000253545.1",7.56364450085745,5.04731180860978,1.01691887799843,1.56162019686473e-07,2.77150403510231e-05,NA,NA,NA,NA,NA,NA
"ENSG00000253128.1",12.2866730768456,5.01876648877316,1.14453920559195,1.14798332444983e-06,0.000172467408027472,NA,NA,NA,NA,NA,NA
"ENSG00000211678.2",281.630487064564,4.98982443709102,0.9852965299024,1.02466496895165e-07,1.89760314995418e-05,NA,NA,NA,NA,NA,NA
"ENSG00000225523.2",29.3659912357473,4.98323208700048,1.18251622408152,1.77840898968662e-06,0.000253708337016729,NA,NA,NA,NA,NA,NA
