"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","GO","PATH","UNIPROT","ENZYME"
"ENSG00000145649.7",265.036806363709,2.03128611954405,0.397459880110503,4.77325632031722e-08,5.44564652165954e-06,"GZMA","3001","GO:0001772","04080","P12544","3.4.21.78"
"ENSG00000262823.1",11.8330388484106,2.0308681902873,0.504185375583374,3.63698418598455e-06,0.000176536897389381,NA,NA,NA,NA,NA,NA
"ENSG00000248996.1",37.0445621302076,2.03012372453344,0.488544132698521,2.42199452642934e-06,0.00012729799105682,NA,NA,NA,NA,NA,NA
"ENSG00000184661.9",29.3012968157815,2.02940729570335,0.523070004733941,5.67106660257328e-06,0.000255577244182533,"CDCA2","157313","GO:0005654",NA,"A8K8Z0",NA
"ENSG00000144119.3",8.53220959867801,2.02932495057311,0.647941644369524,3.4888696302831e-05,0.00106197966540277,"C1QL2","165257","GO:0005576",NA,"Q7Z5L3",NA
"ENSG00000158481.8",116.921742475806,2.02911837026431,0.683161771951388,4.80922467490404e-05,0.00136228458093225,"CD1C","911","GO:0002250","04640","P29017",NA
"ENSG00000178965.9",21.1492468693372,2.02888744028756,0.516114980837078,4.88634366420048e-06,0.000226192438819811,"ERICH3","127254",NA,NA,"Q5RHP9",NA
"ENSG00000173585.11",10.5488897024732,2.02853820547451,0.766456844934187,8.58643887726331e-05,0.00209266464075136,"CCR9","10803","GO:0002305","04060","B2R734",NA
"ENSG00000112486.10",207.165885262654,2.02621894260318,0.388659739927285,2.88571487386833e-08,3.65162644606797e-06,"CCR6","1235","GO:0002407","04060","P51684",NA
"ENSG00000229164.5",1466.47769354935,2.02334524215726,0.419262361661956,1.82658484286421e-07,1.58475375977602e-05,NA,NA,NA,NA,NA,NA
"ENSG00000211790.2",6.90755669394765,2.02216045279051,0.542924824673243,8.78904962199727e-06,0.000358717014008784,NA,NA,NA,NA,NA,NA
"ENSG00000070190.8",330.871206121105,2.02120836407444,0.469712282045144,1.47672910015163e-06,8.54144827628619e-05,"DAPP1","27071","GO:0005515","04662","J3KNB3",NA
"ENSG00000186583.7",20.07495255589,2.02010505737645,0.502096133240096,3.7326040719818e-06,0.000180247781990817,"SPATC1","375686","GO:0005737",NA,"A0A140VJV4",NA
"ENSG00000258613.1",7.72500217001227,2.01933762996961,0.579722679027433,1.62160931233438e-05,0.000588785303617841,NA,NA,NA,NA,NA,NA
"ENSG00000116824.4",710.449585244706,2.01931794391515,0.407790697804195,1.03651364728716e-07,1.01473285375295e-05,"CD2","914","GO:0001766","04514","P06729",NA
"ENSG00000254777.1",2.82608821824103,2.01751709560932,1.04960231000621,0.000220154847463194,0.00426447003328104,NA,NA,NA,NA,NA,NA
"ENSG00000187808.3",32.5203325636313,2.01554765060182,0.502171305069983,3.86391552096452e-06,0.000184158789418602,"SOWAHD","347454",NA,NA,"A6NJG2",NA
"ENSG00000113088.5",238.567358807506,2.01301056952158,0.449972107437841,7.95003313866976e-07,5.28385459386175e-05,"GZMK","3003","GO:0004252",NA,"P49863",NA
"ENSG00000161911.7",28.6425925592933,2.00985917781367,0.406623113203491,1.09497353741827e-07,1.06120880158216e-05,"TREML1","340205","GO:0005886",NA,"Q86YW5",NA
"ENSG00000153898.8",263.100245697043,2.00883682316013,0.493405187430718,3.25021891123775e-06,0.000162108164560839,"MCOLN2","255231","GO:0002250",NA,"Q8IZK6",NA
"ENSG00000186810.7",188.406112975323,2.00844951448171,0.411202915566819,1.43391875846355e-07,1.30908502562492e-05,"CXCR3","2833","GO:0001525","04060","P49682",NA
"ENSG00000246790.2",9.92743585772248,2.00733766336629,0.816606163771877,0.000119918156804449,0.00271695726964763,NA,NA,NA,NA,NA,NA
"ENSG00000128253.9",16.1842536260847,2.00681319124973,0.582761948700045,1.8055074115738e-05,0.000638048704543728,"RFPL2","10739","GO:0046872",NA,"O75678",NA
"ENSG00000198821.6",682.02086931074,2.00262637325895,0.390119492754182,4.45113735466294e-08,5.16007039955354e-06,"CD247","919","GO:0002250","04650","P20963",NA
"ENSG00000267121.1",797.60538170608,2.00197543177266,0.448164362547339,8.25501236988044e-07,5.4490603292573e-05,"LOC339192","339192",NA,NA,NA,NA
"ENSG00000255240.1",13.2479598471694,2.00134798145832,0.547899748157684,1.0842926220053e-05,0.000423458646906596,"LOC283194","283194",NA,NA,NA,NA
"ENSG00000196090.8",47.8445547628298,2.00023639675045,0.530158963793972,7.88696761670711e-06,0.000330750430675743,"PTPRT","11122","GO:0004725",NA,"O14522",NA
"ENSG00000231621.1",7.16409599887095,1.99345862994809,0.885713326601913,0.000165146024447607,0.00345780454945286,"LOC101927596","101927596",NA,NA,NA,NA
"ENSG00000136541.10",126.0059007524,1.99194321227835,0.484296974857473,2.89384484258619e-06,0.000146861358753875,"ERMN","57471","GO:0001763",NA,"Q8TAM6",NA
"ENSG00000136492.4",35.5534229836643,1.99055918611966,0.484626870020962,2.9509881264513e-06,0.000149499534839696,"BRIP1","83990","GO:0000077",NA,"A0A024QZ45",NA
"ENSG00000160185.9",239.807304747207,1.99011435283028,0.435024271082779,5.49348059820392e-07,3.91130419593988e-05,"UBASH3A","53347","GO:0005515",NA,"P57075",NA
"ENSG00000101842.9",24.5038262679368,1.98973417125228,0.431020605496879,4.64689492635495e-07,3.41770865928715e-05,"VSIG1","340547","GO:0003382",NA,"Q86XK7",NA
"ENSG00000167984.12",1152.9132390747,1.98523284283171,0.298532770450071,6.06966658300455e-12,3.58952649474094e-09,"NLRC3","197358","GO:0003674",NA,"C3VPR7",NA
"ENSG00000267369.1",180.496378256085,1.98512710087158,0.405911605160051,1.43656925304964e-07,1.30908502562492e-05,NA,NA,NA,NA,NA,NA
"ENSG00000213654.5",1514.07025955821,1.98476839655895,0.308680965824063,2.60958114822787e-11,1.21129670351731e-08,"GPSM3","63940","GO:0002690",NA,"A0A024RCP6",NA
"ENSG00000269400.1",4.1342027172978,1.98406283670055,0.653852802103776,4.4867336484416e-05,0.00128474869233736,NA,NA,NA,NA,NA,NA
"ENSG00000211791.2",8.59796111050772,1.98213926873613,0.665627161228817,5.02739323459541e-05,0.00140324354170982,NA,NA,NA,NA,NA,NA
"ENSG00000250948.1",3.0038343762108,1.98211006507124,1.01875845659082,0.000236199189301323,0.00452085872362863,NA,NA,NA,NA,NA,NA
"ENSG00000211779.3",5.40550282770783,1.98198118953879,0.750817396797308,9.31092774324271e-05,0.00223724762971548,NA,NA,NA,NA,NA,NA
"ENSG00000197471.7",522.927940750258,1.98135987407748,0.405549758210242,1.47585489770727e-07,1.33647885080504e-05,"SPN","6693","GO:0001931","04514","A0A024R629",NA
"ENSG00000109805.5",66.26281614044,1.97644809238883,0.570731725124722,1.77868625177179e-05,0.000630878460267355,"NCAPG","64151","GO:0000779",NA,"Q9BPX3",NA
"ENSG00000051341.9",61.8914006028249,1.97371546898122,0.518353184723011,7.34774474811307e-06,0.000312865809241496,"POLQ","10721","GO:0000724",NA,"O75417",NA
"ENSG00000166803.6",95.5902337544549,1.96759194712103,0.370973524924679,1.97944545147977e-08,2.73040549007357e-06,"PCLAF","9768","GO:0003682",NA,"Q15004",NA
"ENSG00000122223.8",92.5148171574352,1.96473191565595,0.454534792922938,1.46094646342037e-06,8.50106558574209e-05,"CD244","51744","GO:0002250","04650","Q9BZW8",NA
"ENSG00000229474.2",324.24665233747,1.96366755628795,0.367055561221104,1.56829727945902e-08,2.20612226039629e-06,"PATL2","197135","GO:0003723",NA,"C9JE40",NA
"ENSG00000106952.3",163.24774435349,1.96305219486308,0.586623280549799,2.3629499846203e-05,0.000784347819637193,"TNFSF8","944","GO:0005102","04060","P32971",NA
"ENSG00000154839.5",21.4716752743428,1.96285789473211,0.537337737019572,1.12400330808014e-05,0.000434864724453223,"SKA1","220134","GO:0000278",NA,"A0A024R294",NA
"ENSG00000117650.8",22.3248828999906,1.96263050759892,0.582646599577673,2.24768292984661e-05,0.000755607377506902,"NEK2","4751","GO:0000070",NA,"F6U4U2",NA
"ENSG00000245466.1",19.6743529458337,1.96205271601645,0.821839611267874,0.000143832877943807,0.00311043965451913,"LOC101928075","101928075","GO:0005786",NA,NA,NA
"ENSG00000236320.3",22.9870813086801,1.96127981059169,0.446655215496007,1.14429844595815e-06,7.01046096553388e-05,"SLFN14","342618","GO:0004521",NA,"P0C7P3",NA
"ENSG00000070915.5",21.2444185442841,1.9602580877169,0.473498960877824,2.73187853451893e-06,0.000140113940129716,"SLC12A3","6559","GO:0005515",NA,"P55017",NA
"ENSG00000007129.13",118.40494013968,1.9601724712257,0.372697837328544,2.51097035036324e-08,3.2776080546318e-06,"CEACAM21","90273","GO:0016021",NA,"A0A0G2JSC8",NA
"ENSG00000143869.5",46.1549035550611,1.95291511082812,0.565807166551295,1.86867277232195e-05,0.000656368479955703,"GDF7","151449","GO:0005515","04350","Q75RY1",NA
"ENSG00000237693.4",10.1852242919175,1.9523173375466,0.546399512765524,1.39036820850999e-05,0.0005145605357114,"IRGM","345611","GO:0000045","05145","A1A4Y4","3.6.5.-"
"ENSG00000081059.15",1649.86344684465,1.95169705440566,0.329825329495372,6.68965436050146e-10,1.82880003828879e-07,"TCF7","6932","GO:0000122","04310","P36402",NA
"ENSG00000228037.1",33.2916571384829,1.95041017316905,0.368320601537585,2.11619573517359e-08,2.84239380514022e-06,"LOC100996583","100996583",NA,NA,NA,NA
"ENSG00000188452.9",376.84811873287,1.94621070263544,0.368921107317798,2.35756039375296e-08,3.13382500413639e-06,"CERKL","375298","GO:0001750",NA,"Q49MI3",NA
"ENSG00000257221.1",13.4093166209199,1.94553600879949,0.643168290860539,4.77503161877283e-05,0.00135524844514005,NA,NA,NA,NA,NA,NA
"ENSG00000226675.1",14.6960852182445,1.94430011770191,0.444786615255526,1.24915318860749e-06,7.49440188394777e-05,NA,NA,NA,NA,NA,NA
"ENSG00000137841.7",2514.07123249928,1.94198460516317,0.394916517180675,1.33818564631224e-07,1.23104583043924e-05,"PLCB2","5330","GO:0004435","00562","Q00722","3.1.4.11"
"ENSG00000167094.11",123.760850590841,1.94183231137018,0.400509470424709,1.82573365272126e-07,1.58475375977602e-05,"TTC16","158248",NA,NA,"B4DH05",NA
"ENSG00000253686.1",26.6721623844341,1.93785464839013,0.444412087106739,1.30643052114642e-06,7.74186986539486e-05,"LINC01484","101928136",NA,NA,NA,NA
"ENSG00000140368.8",814.715184387078,1.93602352897445,0.392641437973552,1.26775566774406e-07,1.18125478263304e-05,"PSTPIP1","9051","GO:0001931","04621","O43586",NA
"ENSG00000065357.15",3464.17711415177,1.93354738289479,0.284419654695791,2.40811937747701e-12,1.70201178830558e-09,"DGKA","1606","GO:0003951","00561","A0A024RB23","2.7.1.107"
"ENSG00000058335.11",36.463569728066,1.93323278473934,0.404194226030025,2.45483982382734e-07,2.00384080041884e-05,"RASGRF1","5923","GO:0000165","04010","Q8IUU5",NA
"ENSG00000186075.8",3.93107341126865,1.92944807377565,0.83856248254793,0.000172518399268634,0.00357599297139234,"ZPBP2","124626","GO:0001669",NA,"Q6X784",NA
"ENSG00000146094.9",1036.25899303695,1.92598028322852,0.390618232822592,1.28278702362568e-07,1.18762307893371e-05,"DOK3","79930","GO:0005515",NA,"Q7L591",NA
"ENSG00000141524.11",3876.42990418221,1.92516435192065,0.298364513364984,2.48145162295974e-11,1.17881155951028e-08,"TMC6","11322","GO:0005515",NA,"A0A024R8V2",NA
"ENSG00000167286.5",319.767021097701,1.92322947941434,0.425895726846787,7.40534524925299e-07,5.02557598671787e-05,"CD3D","915","GO:0002250","04640","B0YIY4",NA
"ENSG00000030304.8",21.2456015887313,1.92257547486273,0.456610244275613,2.23100217463413e-06,0.000119060738520346,"MUSK","4593","GO:0001934",NA,"O15146",NA
"ENSG00000203756.3",1.7860150054548,1.92206339279216,1.05619222099387,0.000299441127468684,0.00536623685330088,"TMEM244","253582","GO:0016021",NA,"Q5VVB8",NA
"ENSG00000257495.1",4.06255112784197,1.9119311209527,1.10255233589607,0.000319905220356357,0.00564169859863224,"KRT73-AS1","100127967",NA,NA,NA,NA
"ENSG00000207110.1",4.62153698839951,1.90940616309351,0.574611320764261,2.615298917716e-05,0.000843758442354883,NA,NA,NA,NA,NA,NA
"ENSG00000158488.11",60.9863491998074,1.90562982512699,0.724746408394893,0.000105060306566245,0.00244140943358191,"CD1E","913","GO:0000139","04640","A2RRL5",NA
"ENSG00000261827.1",48.3012747964814,1.90542487938335,0.432522882445524,1.13913287690823e-06,6.99993987074406e-05,NA,NA,NA,NA,NA,NA
"ENSG00000251606.1",10.6388212750871,1.90452764702724,0.625207512746517,4.7674919566354e-05,0.00135443511685667,NA,NA,NA,NA,NA,NA
"ENSG00000225489.2",11.5427955007332,1.90187626180254,0.524129551251891,1.25662985894695e-05,0.000476852314336078,NA,NA,NA,NA,NA,NA
"ENSG00000181631.6",86.8147432020556,1.9000078556053,0.510317030848115,9.81320079135281e-06,0.000391973805457629,"P2RY13","53829","GO:0005783","04080","Q9BPV8",NA
